game_date,game_day_number,day_game_total,Location,Stadium,Attendance,Duration,Home Plate Ump,First Base Ump,Third Base Ump,Weather
"Monday, May 23, 2022",1,1,"Colorado Springs, CO",UCHealth Park,3537,3:22, Cameron Monaco , Doug Hodges , Bill Berger,Rain. Temp: 49 degrees
"Tuesday, May 24, 2022",1,1,"Colorado Springs, CO",UCHealth Park,869,3:05, Doug Hodges , Bill Berger , Cameron Monaco,Rain. 46 Degrees.
"Wednesday, May 25, 2022",1,1,"Idaho Falls, ID",Melaleuca Field,NA,NA,NA,NA,NA,NA
"Wednesday, May 25, 2022",1,5,NA,NA,2691,3:20, Rick Fratus , Mike Colson , Tegan Smith,
"Wednesday, May 25, 2022",2,5,"Great Falls, MT",Centene Stadium,1512,3:54, Craig Struble , Brandon Snyder , Andrew Thomas,"66 Degrees, Party Sunny, West"
"Wednesday, May 25, 2022",3,5,"Ogden, Utah",Lindquist Field,3127,3:51,NA,NA,NA,NA
"Wednesday, May 25, 2022",4,5,Colorado Springs,UCHealth Park,627,2:47, William Berger , Cameron Monico , Doug Hodges,65
"Wednesday, May 25, 2022",5,5,Missoula,Ogren Allegiance Par,2048,3:46, Raymond Bidwell , Kaleb Kador , William Minter,Partly Cloudy 65 degrees
"Thursday, May 26, 2022",1,5,Missoula,Ogren Allegiance,1462,NA,NA,NA,NA,NA
"Thursday, May 26, 2022",1,4,NA,NA,NA,3:36, Kaleb Kador , William Minter,NA,High clouds 79 degrees
"Thursday, May 26, 2022",2,4,"Idaho Falls, ID",Melaleuca Field,779,3:40, Mike Colson , Tegan Smith , Rick Fratus,Cloudy
"Thursday, May 26, 2022",3,4,"Great Falls, Mt",Centene Stadium,1255,2:42, Andrew Thomas , Brandon Snyder , Cory Reeves,"72 Degrees, Overcast, 8 mph E"
"Thursday, May 26, 2022",4,4,"Ogden, Utah",Lindquist Field,3940,3:33,NA,NA,NA,NA
"Friday, May 27, 2022",1,4,"Idaho Falls, ID",Melaleuca Field,1354,2:48, Tegan Smith , Rick Fratus , Mike Colson,Cloudt
"Friday, May 27, 2022",2,4,"Great Falls, MT",Centene Stadium,1896,3:31,NA,NA,NA,"70 degrees, Partly Sunny, East"
"Friday, May 27, 2022",3,4,Missoula,Allegiance Ogren,1833,3:16, Kaleb Kador , William Minter , Raymond Bidwell,Partly Cloudy 68 degrees
"Friday, May 27, 2022",4,4,"Ogden, Utah",Lindquist Field,3687,4h 2m, Ryan Hansen , Kevin Macho , Sterling Davie,NA
"Saturday, May 28, 2022",1,4,"Great Falls, Mt",Centene Stadium,1116,2:52, Andy Anderson , Brandon Snyder , Andrew Thomas,NA
"Saturday, May 28, 2022",1,5,NA,NA,NA,NA,NA,NA,NA,"60 Degrees, Cloudy, 6 mph W"
"Saturday, May 28, 2022",2,5,Colorado Springs,UCHealth Park,4026,3:22, Kenny Adducci , Doug Hodges , William Berger,80 degrees
"Saturday, May 28, 2022",3,5,"Ogden, Utah",NA,2575,2:56, Ryan Hansen , Anthony Preston , Joe Sisson,NA
"Saturday, May 28, 2022",4,5,"Boise, ID",Memorial Stadium,4112,2:34,NA,NA,NA,Partly Cloudy
"Saturday, May 28, 2022",5,5,"Billings, MT",NA,1734,3:13, Rob Minter , Jordan Smart , Merrell Watkins,"Overcast skies, rain, 65 degrees"
"Sunday, May 29, 2022",1,5,"Great Falls, Mt",Centene Stadium,1178,3:40, Brandon Snyder , Andrew Thomas , Andy Anderson,"58 Degrees, Overcast, 13 mph N"
"Sunday, May 29, 2022",2,3,"Colorado Springs, CO",UCHealth Park,2818,3:42, Doug Hodges , Bill Berger , Kenny Adducci,Partly Cloudy. Temperature: 74 Degrees.
"Sunday, May 29, 2022",3,3,"Billings, MT",Dehler Park,1521,3:14, Jordan Smart , Merrell Watkins , Rob Minter,"Partly cloudy, 64 degrees"
"Monday, May 30, 2022",1,3,"Boise, ID",Memorial Stadium,2403,3:27, Zane Clutts , Rick Fratus , Joshua Garcia,"Light Rain, 50 Degrees"
"Monday, May 30, 2022",2,3,"Great Falls, Mt",Centene Stadium,952,3:12, Andrew Thomas , Josh Garner , Brandon Snyder,"50 Degrees, Cloudy, 23 mph N"
"Monday, May 30, 2022",3,3,"Colorado Springs, CO",UCHealth Park,1198,3:36, Bill Berger , Kenny Adducci , Doug Hodges,Sunny. 65 Degrees.
"Tuesday, May 31, 2022",1,3,Missoula,NA,784,2:56, R. Bidwell,NA,NA,"High Clouds, 64F"
"Tuesday, May 31, 2022",2,3,"Boise, ID",Memorial Stadium,2804,3:44, Rick Fratus , Ryan Hansen , Greg Xepoleas,NA
"Tuesday, May 31, 2022",3,3,"Idaho Falls, ID",Melaleuca Field,934,3:04, Mike Colson , Tegan Smith , Rick Daley,"Sunny, Cold"
"Wednesday, June 01, 2022",1,3,Missoula MT,Ogren Park,924,3:59, J. Smart , W. Minter , R. Bidwell,"Mostly Cloudy, 68 F"
"Wednesday, June 01, 2022",2,3,"Boise, ID",Memorial Stadium,2744,NA,NA,NA,NA,NA
"Wednesday, June 01, 2022",2,5,NA,NA,NA,3:12, Ryan Hansen , Greg Xepoleas , Rick Fratus,NA
"Wednesday, June 01, 2022",3,5,UNC,NA,200,3:00,NA,NA,NA,
"Wednesday, June 01, 2022",4,5,"Billings, Mont.",Dehler Park,1487,2:55, Larry Schmitt , Brandon Snyder , Andrew Thomas,"65, mostly cloudy"
"Wednesday, June 01, 2022",5,5,"Idaho Falls, ID",Melaleuca Field,956,4:17, Tegan Smith , Rick Dales , Shane Proctor,Clear Skies
"Thursday, June 02, 2022",1,5,Missoula,Ogren Park,1074,2:57,NA, R. Bidwell,NA,"mostly clear, 72F"
"Thursday, June 02, 2022",2,5,"Boise, ID",Memorial Stadium,2817,3:15, Greg Xepoleas , Rick Fratus , Ryan Hansen,NA
"Thursday, June 02, 2022",3,5,UNC,NA,80,3:03,NA,NA,NA,
"Thursday, June 02, 2022",4,5,"Billings, MT",Dehler Park,1471,2:33, Brandon Snyder , Andrew Turner , Larry Schmitt,"Clear skies, 72 degrees"
"Thursday, June 02, 2022",5,5,"Idaho Falls, ID",Melaleuca Field,2833,3;27, Rick Daley , Shane Proctor , Trevor Walker,Fair
"Friday, June 03, 2022",1,5,"Boise, ID",Memorial Stadium,3547,3:29, Rick Fratus , Dion Dice , Ryan Hansen,"Mostly Cloudy, 85 Degrees"
"Friday, June 03, 2022",2,5,Missoula,Ogren Park,2041,4:00, R. Bidwell,NA,NA,NA
"Friday, June 03, 2022",2,4,NA,NA,NA,NA,NA,NA,NA,"Rain Delayed, Cloudy, 63F"
"Friday, June 03, 2022",3,4,Jackson Field,NA,105,2:48,NA,NA,NA,
"Friday, June 03, 2022",4,4,"Idaho Falls, ID",Melaleuca Field,2977,3:21, Blair Pipo , Michael Deboer , Sam Esterholt,Clear
"Saturday, June 04, 2022",1,4,"Boise, ID",NA,3528,3:14, Greg Xepoleas , Rick Fratus , Dion Dice,"Mostly Cloudy, 70 Degrees"
"Saturday, June 04, 2022",2,4,"Missoula, MT",Ogren Park,2171,3:03,NA,NA,NA,"Cloudy, 60F"
"Saturday, June 04, 2022",3,4,Jackson Field,NA,108,NA,NA,NA,NA,NA
"Saturday, June 04, 2022",3,6,NA,NA,NA,2:50,NA,NA,NA,
"Saturday, June 04, 2022",4,6,"Billings, Mont.",Dehler Park,1924,2:22,NA,NA,NA,Overcast 70
"Saturday, June 04, 2022",5,6,"Billings, Mont.",Dehler Park,1478,3:11,NA,NA,NA,Overcast 65
"Saturday, June 04, 2022",6,6,"Idaho Falls, ID",Melaleuca Field,2206,3:37, Scott Esterholt , Mike Deboer , Blair Pippo,Overcast
"Sunday, June 05, 2022",1,6,"Missoula, MT",Ogren Park,967,3:07,NA,NA,NA,
"Sunday, June 05, 2022",2,6,Jackson Field,NA,110,3:22,NA,NA,NA,
"Sunday, June 05, 2022",3,6,"Billings, MT",Dehler Park,1692,2:54,NA,NA,NA,NA
"Sunday, June 05, 2022",3,5,NA,NA,NA,NA, Brandon Snyder , Andrew Thomas , Stu Bertrand,"Partly Cloudy, 70"
"Sunday, June 05, 2022",4,5,"Idaho Falls, ID",Melaleuca Field,780,4:02, Michael Deboer , Rick Daley , Blair Pippo,Sunny
"Sunday, June 05, 2022",5,5,"Boise, ID",Memorial Stadium,2644,4:21, Grex Xepoleas , Dion Dice , Rick Fratus,"Overcast and Raining, 67 Degre"
"Tuesday, June 07, 2022",1,5,Grand Junction,NA,1473,3:26,NA,NA,NA,
"Tuesday, June 07, 2022",2,5,"Ogden, Utah",Lingquist Field,3970,2HR 53M, Cody Curnutt , Anthony Preston , Todd Skeen,
"Tuesday, June 07, 2022",3,5,UCHealth Park,NA,1207,4:05, William Berger , Cody Allenbrand , Tim Hatfield,NA
"Tuesday, June 07, 2022",3,4,NA,NA,NA,NA,NA,NA,NA,63
"Tuesday, June 07, 2022",4,4,"Great Falls, Mt",Centene Stadium,912,3:22, Shad Chrisman , Andrew Thomas , Brandon Snyder,"59 Degrees, Cloudy, 23 mph NNW"
"Wednesday, June 08, 2022",1,4,"Ogden, Utah",Lindquist Field,4604,3HR 21M, Anthony Preston , Michael DeBoer , Cody Curnutt,
"Wednesday, June 08, 2022",2,4,Missoula,Ogren Allegiance,1729,3:46, Nick Jahnke , Rick Fratus , Ratmond Bidwell,Overcast 66 degrees
"Wednesday, June 08, 2022",3,4,Colorado Springs,UCHealth Park,801,NA,NA,NA,NA,NA
"Wednesday, June 08, 2022",3,5,NA,NA,NA,3:26, Cody Allenbrand , Tim Hatfield , William Berger,70
"Wednesday, June 08, 2022",4,5,Grand Junction,NA,1120,3:19,NA,NA,NA,
"Wednesday, June 08, 2022",5,5,"Great Falls, MT",Centene Stadium,1025,2:55,NA,NA,NA,"69 degrees, mostly sunny, Nort"
"Thursday, June 09, 2022",1,5,"Missoula, MT",Ogren Allegiance,1409,3:00, Rick Fratus , Nick Jahnke , Jefferson Ball,Partly Cloudy 79 degrees
"Thursday, June 09, 2022",2,5,Colorado Springs,UCHealth Park,778,4:10, Tim Hatfield , Gary Czachowski , Bill Berger,80
"Thursday, June 09, 2022",3,5,Grand Junction,NA,1041,3:31,NA,NA,NA,
"Thursday, June 09, 2022",4,5,"Great Falls, MT",Centene Stadium,1237,3:15,NA,NA,NA,"77 degrees, sunny"
"Thursday, June 09, 2022",5,5,"Ogden, Utah",Lindquist Field,5065,3HR 45M, Michael DeBoer , Cody Cornutt , Anthony Preston,
"Friday, June 10, 2022",1,5,"Grand Junction, CO",Suplizio Field,1640,3:37, Lou Brown , Jordan Smart , Kelly Attchison,100 degrees
"Friday, June 10, 2022",2,5,"Ogden, Utah",Lidnquist Field,4538,3HR 18M, Cody Curnutt , Anthony Preston , Lars Birkeland,NA
"Friday, June 10, 2022",3,5,"Missoula, MT",Ogren Allegiance,1660,3:38, Todd Brester , Nick Jahnke , Rick Fratus,Cloudy 63 degrees
"Friday, June 10, 2022",4,5,Colorado Springs,UCHealth Park,5153,2:53, Doug Hodges , Cameron Monaco , Bill Berger,Mostly Sunny. 85 Degrees.
"Friday, June 10, 2022",5,5,"Great Falls, MT",Centene Stadium,1217,3:28,NA,NA,NA,"72 degrees, cloudy, Northeast"
"Saturday, June 11, 2022",1,5,"Ogden, Utah",Lindquist Field,4881,3h 36m, Kelly Atkinson , Lars Birkeland , Cody Curnutt,93 Clear Sky
"Saturday, June 11, 2022",2,5,"Colorado Springs, CO",UCHealth Park,2297,4:30, Cameron Monaco , Tim Hatfield , Bill Berger,Mostly Sunny. 87 Degrees.
"Saturday, June 11, 2022",3,5,"Great Falls, MT",Centene Stadium,1393,3:02,NA,NA,NA,"67 degrees, partly cloudy, Nor"
"Saturday, June 11, 2022",4,5,"Grand Junction, CO",NA,NA,NA,NA,NA,NA,NA
"Saturday, June 11, 2022",4,4,NA,Suplizio Field,1275,3:40, Jordan Smart , William Minter , Ted Weber,101 degrees
"Sunday, June 12, 2022",1,4,"Ogden, Utah",Lindquist Field,2087,3HR 38M, Lars Birkeland , Cody Curnutt , Kelly Atkiinson,"91 Clear Sky, 10 mph wind out"
"Sunday, June 12, 2022",2,4,"Colorado Springs, CO",UCHealth Park,2149,3:26, Daniel Muth , Bill Berger , Tim Hatfield,Mostly Sunny. 86 Degrees.
"Sunday, June 12, 2022",3,4,"Grand Junction, CO",Suplizio Field,1300,4:12, William Minter , Ted Weber , Jordan Smart,97 degrees
"Sunday, June 12, 2022",4,4,"Great Falls, MT",Centene Stadium,1153,4:01,NA,NA,NA,"68 degrees, mostly cloudy, North"
"Monday, June 13, 2022",1,4,"Billings, MT",Dehler Park,0,2:06, Rick Fratus , Merrill Watkins , Stu Bertrand,"Overcast skies, 63 degrees"
"Monday, June 13, 2022",2,4,"Billings, MT",Dehler Park,1823,2:29, Merrill Watkins , Stu Bertrand , Rick Fratus,"Overcast skies, 60 degrees"
"Tuesday, June 14, 2022",1,4,"Boise, ID",NA,4257,3:23, Dave Fry , Brandon Snyder , Andrew Thomas,"Clear Skies, 60 Degrees"
"Tuesday, June 14, 2022",2,4,"Missoula, MT",Ogren Allegiance,1264,NA,NA,NA,NA,NA
"Tuesday, June 14, 2022",2,2,NA,NA,NA,3:52, Raymond Bidwell , William Minter , Jordan Smart,Overcast 52 degrees
"Tuesday, June 14, 2022",3,2,"Greeley, CO",Jackson Field,69,2:46, Doug Hodges , Ryan Roark , Bill Berger,
"Tuesday, June 14, 2022",4,2,"Idaho Falls, ID",Melaleuca Field,1575,3:32,NA,NA,NA,NA
"Tuesday, June 14, 2022",4,5,NA,NA,NA,NA, Tegan Smith , Shane Proctor , Rick Fratus,Windy
"Tuesday, June 14, 2022",5,5,Flathead Field,NA,2203,2:33,NA,NA,NA,
"Wednesday, June 15, 2022",1,5,"Boise, ID",Memorial Stadium,3503,3:35, Brandon Snyder , Andrew Thomas , Dave Fry,"Clear Skies, 77 Degrees"
"Wednesday, June 15, 2022",2,5,"Missoula, MT",Ogren Allegiance,1468,3:00, William Minter , Raymond Bidwell , Jordan Smart,Clear 72 degrees
"Wednesday, June 15, 2022",3,5,"Greeley, CO",Jackson Field,35,3:43, Ryan Roark , Bill Berger , Doug Hodges,
"Wednesday, June 15, 2022",4,5,"Idaho Falls, ID",Melaleuca Field,2569,3:30, Shane Proctor , Rick Fratus , Tegan Smith,Fair
"Wednesday, June 15, 2022",5,5,Flathead Field,NA,1287,3:30,NA,NA,NA,
"Thursday, June 16, 2022",1,5,"Boise, ID",Memorial Stadium,3227,3:03, Andrew Thomas , Bob Lane , Brandon Snyder,"Partly Cloudy, 83 Degrees"
"Thursday, June 16, 2022",2,5,Jackson Field,NA,58,3:00, Bill Berger , Doug Hodges , Ryan Roark,
"Thursday, June 16, 2022",3,5,Flathead Field,NA,1407,3:00, Patrick Rivera , Craig Struble , Willie Stacie,"80 degrees, partly sunny"
"Thursday, June 16, 2022",4,5,"Idaho Falls, ID",Melaleuca Field,1523,3;15, Rick Fratus , Tegan Smith , Shane Proctor,Fair
"Thursday, June 16, 2022",5,5,Missoula,Ogren Park,2073,3:02, J. Smart , R. Bidwell , W. Minter,"78 F, overcast"
"Friday, June 17, 2022",1,5,"Boise, ID",Memorial Staduim,4044,2:50, Nathan Elkins , Brandon Snyder , Andrew Thomas,"Overcast, 75 Degrees"
"Friday, June 17, 2022",2,5,"Great Falls, Mt",Centene Stadium,1604,3:32, Jordan Smart , Rob Minter,NA,"92 Degrees, Sunny, 10 mph E"
"Friday, June 17, 2022",3,5,"Ogden, Utah",Lindquist Field,3673,3H 50M, Brandon Riley , Joe Sisson , Michael DeBoer,NA
"Friday, June 17, 2022",4,5,"Greeley, CO",Jackson Field,45,3:00, Doug Hodges , Cameron Monocco , Kenny Adducci,
"Friday, June 17, 2022",5,5,Flathead Field,NA,1779,2:29, Robert Jaymack , Rick Fratus , Patrick Rivera,"73 degrees, cloudy"
"Saturday, June 18, 2022",1,5,"Boise, ID",Memorial Stadium,4472,2:52, Brandon Snyder , Andrew Thomas , Nathan Elkins,"Clear Skies, 71 Degrees"
"Saturday, June 18, 2022",2,5,"Greeley, CO",Jackson Field,77,2:33, Cameron Monaco , Kenny Adducci , Doug Hodges,
"Saturday, June 18, 2022",3,5,"Great Falls, MT",Centene Stadium,1412,3:58,NA,NA,NA,"68 degrees, partly cloudy, Nor"
"Saturday, June 18, 2022",4,5,"Ogden, Utah",Lindquist Field,3330,3H 7M, Todd Skeen , Michael DeBoer , Brandon Riley,windy and dust storm
"Saturday, June 18, 2022",5,5,Flathead Field,NA,1470,3:24, Patrick Rivera , Robert Jaymack , Rick Fratus,"70 degrees, partly sunny"
"Sunday, June 19, 2022",1,5,"Boise, ID",Memorial Stadium,4491,3:07, Andrew THomas , Bob Lane , Brandon Snyder,"Partly Cloudy, 65 Degrees"
"Sunday, June 19, 2022",2,5,"Greeley, CO",Jackson Field,158,3:04, Tim Hatfield , Kenny Adducci , Dennis Smyth,
"Sunday, June 19, 2022",3,5,"Great Falls, Mt",Centene Stadium,1121,3:24, Jordan Smart , Shad Chrisman , Rob Minter,"63 Degrees, Cloudy, 7 mph NE"
"Sunday, June 19, 2022",4,5,"Ogden, Utah",Lindquist Field,3530,3H 44M, Michael DeBoer , Brandon Riley , Todd Skeen,
"Sunday, June 19, 2022",5,5,Flathead Field,NA,1870,2:35, Robert Jaymack , Rick Fratus , Patrick Rivera,"64, partly cloud"
"Tuesday, June 21, 2022",1,5,"Greeley, CO",Jackson Field,26,2:58, Rob Minter , Jordan Smart,NA,
"Tuesday, June 21, 2022",2,5,"Billings, Mont.",Dehler Park,2294,3:47, Craig Berube , Larry Schmitt , Stu Bertrand,"73, Partly Cloudy"
"Tuesday, June 21, 2022",3,5,Flathead Field,NA,1387,2:17,NA,NA,NA,
"Tuesday, June 21, 2022",4,5,"Grand Junction, CO",Suplizio Field,1199,3:16, Andrew Torfin , Ted Weber , Andrew Burris,NA
"Tuesday, June 21, 2022",5,5,"Idaho Falls, ID",Melaleuca Field,1501,3:27, Shane Proctor , Brandon Snyder , Kelly Atkinson,Fair
"Wednesday, June 22, 2022",1,5,"Greeley, Colo.",Jackson Field,24,2:47, Jordan Smart , Rob Minter,NA,
"Wednesday, June 22, 2022",2,5,"Billings, Mont.",Dehler Park,2309,2:43, Larry Schmitt , Stu Bertrand , Cameron Bjornstad,88 and Sunny
"Wednesday, June 22, 2022",3,5,Flathead Field,NA,1502,3:49,NA,NA,NA,
"Wednesday, June 22, 2022",4,5,"Grand Junction, CO",Suplizio Field,1466,2:59, Ted Weber , Andrew Burris , Marty Rover,NA
"Wednesday, June 22, 2022",5,5,"Idaho Falls, ID",Melaleuca Field,2985,3:49, Brandon Snyder , Kelly Atkinson , Shane Proctor,Fair
"Thursday, June 23, 2022",1,5,"Billings, MT",Dehler Park,2113,3:00, Cameron Bjornstad , Merrell Watkins , Jeff Branson,"Clear skies, 88 degrees"
"Thursday, June 23, 2022",2,5,Flathead Field,NA,1664,2:55,NA,NA,NA,
"Thursday, June 23, 2022",3,5,"Grand Junction, CO",Suplizio Field,0,3:57, Andrew Burris , Marty Rover , Ted Weber,NA
"Thursday, June 23, 2022",4,5,"Grand Junction, CO",Suplizio Field,1319,2:11, Marty Rover , Ted Weber , Andrew Burris,NA
"Thursday, June 23, 2022",5,5,"Idaho Falls, ID",Melaleuca Field,2009,3:45, Kelly Atkinson , Shane Proctor , Brandon Snyder,Fair
"Friday, June 24, 2022",1,5,UC Health Park,NA,2170,2:56, Cameron Monaco , Darryl Dale, Joshua Garcia,75
"Friday, June 24, 2022",2,5,"Idaho Falls, ID",Melaleuca Field,4103,2:46, Blair Pippo , Robert Jamack , Rick Fratus,"Fair, Windy"
"Friday, June 24, 2022",3,5,"Grand Junction, CO",Suplizio Field,1678,3:06, Ted Weber , William Minter , Jordan Smart,
"Friday, June 24, 2022",4,5,"Missoula, MT",Ogren Allegiance,2169,2:41, Todd Brusters , Kelly Atkinson , Brendon Snyder,Partly Cloudy 66 degrees
"Saturday, June 25, 2022",1,5,"Billings, MT",Dehler Park,0,2:36, Merrill Watkins , Jeff Branson , Cameron Bjornstad,"Partly Cloudy, 65"
"Saturday, June 25, 2022",2,5,"Idaho Falls, ID",NA,NA,NA,NA,NA,NA,NA
"Saturday, June 25, 2022",2,4,NA,Melaleuca Field,3575,3:00, Robert Jamack , Rick Fratus , Blair Pippo,"Fair, Windy"
"Saturday, June 25, 2022",3,4,"Grand Junction, CO",Suplizio Field,0,2:20, William Minter , Jordan Smart , Andrew Torfin,93 Mostly Sunny
"Saturday, June 25, 2022",4,4,"Grand Junction, CO",Suplizio Field,2575,2:23, Jordan Smart , Andrew Torfin , William Minter,91 Sunny
"Saturday, June 25, 2022",5,4,"Billings, MT",Dehler Park,3246,2:42, Jeff Branson , Cameron Bjornstad , Merrill Watkins,"Sunny, 70"
"Saturday, June 25, 2022",6,4,"Missoula, MT",NA,NA,NA,NA,NA,NA,NA
"Saturday, June 25, 2022",6,6,NA,Ogren Allegiance,2616,3:03, Kelly Atkinson , Todd Brusters , Micheal Kiger,Clear 76 degrees
"Sunday, June 26, 2022",1,6,"Billings, MT",Dehler Park,2103,2:45, Cameron Bjornstad , Merrell Watkins , Stu Bertrand,"Clear skies, 84 degrees"
"Sunday, June 26, 2022",2,6,"Idaho Falls, ID",Melaleuca Field,1402,3:13, Rick Fratus , Blair Pippo , Tegan Smith,Fair
"Sunday, June 26, 2022",3,6,"Grand Junction, CO",Suplizio Field,1448,3:30, Andrew Torfin , William Minter , Jordan Smart,85 Mostly Cloudy
"Sunday, June 26, 2022",4,6,"Missoula, MT",Ogren Park,1774,3:29,NA,NA,NA,"Sunny, 78 F"
"Sunday, June 26, 2022",5,6,UC Health Park,NA,820,2:22, Josh Garcia , Doug Hodges , Darryl Dale,52
"Sunday, June 26, 2022",6,6,UC Health Park,NA,820,2:07, Doug Hodges , Darryl Dale, Josh Garcia,56
"Monday, June 27, 2022",1,6,"Billings, MT",Dehler Park,2479,3:10, Stu Bertrand , Larry Schmitt , Jeff Branson,"Clear skies, 89 degrees"
"Wednesday, June 29, 2022",1,6,Linquest field,NA,4125,3:05, Ryan Hansen , William minter , Jordan smart,NA
